Artikelcode;EANCode;Assortiment;Omschrijving;Voorraad
0000000000E02;8030282426320;COMPONENTS;SELLE ITALIA SMOOTAPE CORSA GEL WHITE;1
0000000000E16;8030282426467;COMPONENTS;SELLE ITALIA SMOOTAPE GRAN FONDO GEL GREEN;0
0000000000E25;8030282426559;COMPONENTS;SELLE ITALIA SMOOTAPE CONTROLLO GEL YELLOW;0
010H901IHC001;8030282498600;COMPONENTS;SELLE ITALIA C2 GEL FLOW MANGANESE S2/BLACK;0
017A920ICA001;8030282516878;COMPONENTS;SELLE ITALIA FLITE BOOST SUPERFLOW CARBON L3/BLACK;0
024H901IKC001;8030282498341;COMPONENTS;SELLE ITALIA MAX FLITE E-BIKE GEL SUPERFLOW TI L3;0
028AL02IHC001;8030282499294;COMPONENTS;SELLE ITALIA X-LAND E-BIKE SUPERFLOW L3;0
031A501IKC009;8030282504219;COMPONENTS;SELLE ITALIA IRON EVO SUPERFLOW SD TI 316 U3/BLACK;0
031A501IKC010;8030282504226;COMPONENTS;SELLE ITALIA IRON EVO SUPERFLOW HD TI 316 U3/BLACK;0
041A120ICA001;8030282504257;COMPONENTS;SELLE ITALIA SLR BOOST KIT CARBONIO S1/BLACK;0
067A801IKC001;8030282498761;COMPONENTS;SELLE ITALIA SP-01 BOOST SUPERFLOW TI 316 S3/BLACK;0
067A901IHC001;8030282497900;COMPONENTS;SELLE ITALIA SP-01 TM SUPERFLOW MANGANESE S3/BLACK;0
067A901IKC001;8030282487710;COMPONENTS;SELLE ITALIA SP-01 SUPERFLOW TI 316 S3/BLACK;0
067A902IHC001;8030282497863;COMPONENTS;SELLE ITALIA SP-01 TM SUPERFLOW MANGANESE L3/BLACK;0
080A302AHC001;8030282485464;COMPONENTS;SELLE ITALIA NOVUS BOOST TM SUPERFLOW S3/BLACK;0
080A302IKC002;8030282485433;COMPONENTS;SELLE ITALIA NOVUS BOOST SUPERFLOW TI 316 S3/BLACK;0
080A802AHC001;8030282485457;COMPONENTS;SELLE ITALIA NOVUS BOOST TM SUPERFLOW L3/BLACK;0
1000000000081;8030282506084;SIS;SELLE ITALIA DISPLAY HEADER 3-FACE BOOST;29
10002;4260125819291;COMPONENTS;CUBE DISC BRAKE PAD AVID JUICY 3/5/7 SINTERED;33
10003;4260125819307;COMPONENTS;CUBE DISC BRAKE PAD AVID JUICY 3/5/7 ORGANIC;105
10004;4260125819314;COMPONENTS;CUBE DISC BRAKE PAD FORMULA MEGA/R1/RX SINTERED;22
10006;4260125819338;COMPONENTS;CUBE DISC BRAKE PAD FORMULA ORO SINTERED;33
10007;4260125819345;COMPONENTS;CUBE DISC BRAKE PAD FORMULA ORO ORGANIC;10
10008;4260125819352;COMPONENTS;CUBE DISC BRAKE PAD HAYES HFX 9 SINTERED;18
10009;4260125819369;COMPONENTS;CUBE DISC BRAKE PAD HAYES HFX 9 ORGANIC;50
10010;4260125819376;COMPONENTS;CUBE DISC BRAKE PAD HAYES STROKER RYDE/RADAR SINT.;20
10011;4260125819383;COMPONENTS;CUBE DISC BRAKE PAD HAYES STROKER RYDE/RADAR ORG.;19
10012;4260125819390;COMPONENTS;CUBE DISC BRAKE PAD HAYES STROKER TRAIL SINTERED;53
10013;4260125819406;COMPONENTS;CUBE DISC BRAKE PAD HAYES STROKER TRAIL ORGANIC;25
10014;4260125819413;COMPONENTS;CUBE DISC BRAKE PAD MAG. CLARA '01/LOUISE FR SINT.;42
10015;4260125819420;COMPONENTS;CUBE DISC BRAKE PAD MAG. CLARA '01/LOUISE FR ORG.;37
10016;4260125819437;COMPONENTS;CUBE DISC BRAKE PAD MAGURA JULIE SINTERED;38
10017;4260125819444;COMPONENTS;CUBE DISC BRAKE PAD MAGURA JULIE ORGANIC;38
10018;4260125819451;COMPONENTS;CUBE DISC BRAKE PAD MAGURA LOUISE BAT/CARBON SINT.;28
10019;4260125819468;COMPONENTS;CUBE DISC BRAKE PAD MAGURA LOUISE BAT/CARBON ORG.;19
10020;4260125819475;COMPONENTS;CUBE DISC BRAKE PAD MAGURA MARTA SINTERED;33
10021;4260125819482;COMPONENTS;CUBE DISC BRAKE PAD MAGURA MARTA ORGANIC;44
10023;4260125819505;COMPONENTS;CUBE DISC BRAKE PAD SHIMANO XTR/XT/SLX ORGANIC;231
10026;4260125819536;COMPONENTS;CUBE DISC BRAKE PAD SHIMANO DEORE XT/BR-M755 SINT.;329
10027;4260125819543;COMPONENTS;CUBE DISC BRAKE PAD SHIMANO DEORE XT/BR-M755 ORG.;414
10028;4260125819550;COMPONENTS;CUBE DISC BRAKE PAD SHIMANO NEXAVE/BR-M555 SINT.;48
10029;4260125819567;COMPONENTS;CUBE DISC BRAKE PAD SHIMANO NEXAVE/BR-M555 ORGANIC;49
10032;4260125819598;COMPONENTS;CUBE DISC BRAKE PAD SHIMANO XT2000/XTR SINTERED;62
10033;4260125819604;COMPONENTS;CUBE DISC BRAKE PAD SHIMANO XT2000/XTR ORGANIC;6
10034;4260125819611;COMPONENTS;CUBE BRAKE PAD 1-PIECE BRAKE SHOES ROAD;68
10035;4260125819628;COMPONENTS;CUBE BRAKE PAD 2-PIECE BRAKE SHOES ROAD SIL/BLK;7
